Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.2	2.0	FALSE	FALSE		[Annot]		
Subtype	name	1.2	2.0	TRUE	FALSE		[Movie]		
Rect	rectangle	1.2	2.0	TRUE	FALSE				
Contents	string-text	1.2	2.0	FALSE	FALSE				
P	dictionary	1.3	2.0	FALSE	FALSE				[PageObject]
NM	string-text	1.4	2.0	FALSE	FALSE				
M	date;string-text	1.2	2.0	FALSE	FALSE				
F	integer	1.2	2.0	FALSE	FALSE	0			
AP	dictionary	1.2	2.0	FALSE	FALSE				[Appearance]
AS	name	1.2	2.0	FALSE	FALSE				
Border	array	1.2	2.0	FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]
C 	array	1.2	2.0	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]
StructParent	integer	1.3	2.0	FALSE	FALSE				
OC	dictionary	1.5	2.0	FALSE	FALSE				[OptContentGroup,OptContentMembership]
T	string	1.2	2.0	FALSE	FALSE				
Movie	dictionary	1.2	2.0	TRUE	FALSE				[Movie]
A	boolean;dictionary	1.2	2.0	FALSE	FALSE				[];[MovieActivation]
ExData	dictionary	1.7	2.0	FALSE	FALSE				[ExData3DMarkup,ExDataMarkupGeo,ExDataProjection]
