Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.0		TRUE	FALSE	CIDFont				
Subtype	name	1.0		TRUE	FALSE	CIDFontType2				
BaseFont	name	1.0		TRUE	FALSE					
CIDSystemInfo	dictionary	1.0		TRUE	FALSE					[CIDSystemInfo]
FontDescriptor	dictionary	1.0		TRUE	TRUE					[]
DW	number	1.0		FALSE	FALSE		1000			
W	array	1.0		FALSE	FALSE		none			[]
DW2	array	1.0		FALSE	FALSE		[888 -1000]			[]
W2	array	1.0		FALSE	FALSE		none			[]
CIDtoGIDMap	name;stream	1.0		TRUE	FALSE					[];[]
