Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Title	string-text	1.0		TRUE	FALSE	FALSE					
Parent	dictionary	1.0		TRUE	TRUE	FALSE				[OutlineItem,Outline]	
Prev	dictionary	1.0		FALSE	TRUE	FALSE				[OutlineItem]	
Next	dictionary	1.0		FALSE	TRUE	FALSE				[OutlineItem]	
First	dictionary	1.0		FALSE	TRUE	FALSE				[OutlineItem]	
Last	dictionary	1.0		FALSE	TRUE	FALSE				[OutlineItem]	
Count	integer	1.0		FALSE	FALSE	FALSE					
Dest	array;name;string-byte	1.0		FALSE	FALSE	FALSE				[DestXYZ,Dest0,Dest1,Dest4];[];[]	
A	dictionary	1.1		FALSE	FALSE	FALSE				[ActionGoTo,ActionGoToR,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionECMAScript]	
SE	dictionary	1.3		FALSE	TRUE	FALSE				[StructElem]	
C	array	1.4		FALSE	FALSE	FALSE	[0.0 0.0 0.0]			[]	
F	integer	1.4		FALSE	FALSE	FALSE	0				
