Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Length1	integer	1.0		FALSE	FALSE	FALSE					
Length2	integer	1.0		FALSE	FALSE	FALSE					
Length3	integer	1.0		FALSE	FALSE	FALSE					
Subtype	name	1.2		FALSE	FALSE	FALSE		[Type1C,CIDFontType0C,OpenType]			
Length	integer	1.3		TRUE	FALSE	FALSE					* from stream
Filter	array;name	1.3		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]		[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	1.3		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
F	dictionary;string	1.3		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.3		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,Crypt]		[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	1.3		FALSE	FALSE	FALSE				[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCrypt]	
DL	integer	1.5		FALSE	FALSE	FALSE					
